iter	Passed	Remaining
666	130135	64970
667	130285	64752
668	130489	64562
669	130641	64345
670	130844	64154
671	131026	63953
672	131211	63753
673	131402	63556
674	131599	63362
675	131815	63177
676	132010	62982
677	132187	62779
678	132373	62579
679	132576	62388
680	132753	62185
681	132936	61984
682	133090	61771
683	133278	61572
684	133465	61374
685	133625	61163
686	133821	60969
687	134020	60776
688	134208	60578
689	134372	60370
690	134568	60176
691	134737	59969
692	134918	59769
693	135111	59573
694	135305	59378
695	135462	59167
696	135610	58952
697	135825	58766
698	135989	58559
699	136144	58347
700	136290	58132
701	136454	57925
702	136653	57732
703	136853	57540
704	137027	57337
705	137221	57143
706	137369	56929
707	137574	56739
708	137714	56522
709	137880	56317
710	138026	56103
711	138180	55893
712	138329	55680
713	138500	55477
714	138654	55267
715	138806	55057
716	138950	54843
717	139147	54651
718	139292	54438
719	139459	54234
720	139610	54023
721	139773	53818
722	139923	53608
723	140137	53422
724	140327	53227
725	140535	53039
726	140685	52829
727	140886	52638
728	141096	52451
729	141292	52258
730	141476	52061
731	141679	51871
732	141867	51676
733	142051	51478
734	142247	51286
735	142445	51094
736	142628	50897
737	142833	50707
738	143017	50510
739	143227	50323
740	143420	50129
741	143630	49941
742	143812	49744
743	143969	49537
744	144176	49348
745	144361	49152
746	144558	48960
747	144745	48764
748	144934	48569
749	145081	48360
750	145257	48161
751	145405	47952
752	145844	47839
753	146042	47647
754	146240	47455
755	146442	47264
756	146672	47082
757	146830	46877
758	147048	46691
759	147238	46496
760	147437	46304
761	147575	46093
762	147737	45889
763	147927	45694
764	148121	45501
765	148313	45307
766	148515	45116
767	148717	44925
768	148865	44717
769	149071	44527
770	149254	44330
771	149481	44147
772	149658	43948
773	149863	43758
774	150059	43565
775	150251	43371
776	150453	43180
777	150692	42999
778	150904	42811
779	151143	42630
780	151347	42439
781	151558	42250
782	151734	42051
783	151956	41865
784	152147	41670
785	152341	41477
786	152535	41283
787	152734	41090
788	152905	40891
789	153130	40705
790	153334	40514
791	153553	40327
792	153776	40140
793	153968	39946
794	154152	39749
795	154343	39555
